Console,GameName,Score
NS,Taiko no Tatsujin: Drum 'n' Fun / Drum Session Review - Rhythm Party,7
PC,Battlefield 5 Review - Breaking Through The Front Lines,8
"NS, NS",Pokemon Let's Go Pikachu And Let's Go Eevee Review,8
PC,Overkill's The Walking Dead Review - DOA,3
PS4,Spyro Reignited Trilogy Review - Fan The Flames,8
"PS4, XONE, PC",11-11: Memories Retold Review - Modernist Warfare,7
"XONE, NS",Full Metal Furies Review - Puzzle-Brawler,8
"PC, PS4, XONE, NS",Sinner: Sacrifice for Redemption Review - Trials and Tribulations,6
PS4,The Quiet Man Review - Silence Is Not Golden,2
PC,Cities: Skylines - Industries Review - The Up And Up,7
NS,SNK 40th Anniversary Collection Review - It Belongs In A Museum,8
PS4,Deracine Review - Elementary,5
PC,Football Manager 2019 Review - A Winning Strategy,8
"PC, PS4, XONE",Call Of Cthulhu Review - Squid Logic,5
NS,Diablo 3: Eternal Collection Switch Review - Better With Age,9
PC,Gwent Review - Heart Of The Cards,8
NS,Black Bird Review - Featherweight,5
"PC, PS4, NS",Transistor Review,8
"PS4, XONE",My Hero One's Justice Review - In Their Own Quirky Ways,6
PS4,WWE 2K19 Review: A Step In The Right Direction,7
"PC, MAC",Return Of The Obra Dinn Review: The Good Ship,9
XONE,NBA 2K Playgrounds 2 Review - Ball Another Day,5
PS4,"Call Of Duty: Black Ops 4 Review - Zombies, Blackout, Multiplayer",8
"AND, IOS",Reigns: Game Of Thrones Review: A Westerosi Romp,8
"PC, XONE, PS4",SoulCalibur 6 Review - The New Legend,8
PS4,Lego DC Super-Villains Review: Mediocre Mischief-Makers,5
"NS, NS",Dark Souls Remastered Switch Review: A Very Special Revisit,8
"NS, XONE, PS4",Starlink: Battle for Atlas Review - Endless Space,7
"PC, NS",Armello Review - Nintendo Switch Update,8
3DS,Luigi's Mansion Review - Old Haunts,7
"PS4, XONE, PC, NS",The Missing Review - Lost And Found,8
"XONE, PS3, NS",Child of Light Review,8
"PC, PS4, NS",Chasm Review: The Battle Below,8
NS,Super Mario Party Review - Test Those Friendships,7
PC,"World of Warcraft: Battle For Azeroth - Come One, Come All",7
"PC, PS4, XONE",My Memory of Us Review - War Has Changed,5
NS,FIFA 19 Nintendo Switch Review - Offside,5
PC,Pathfinder: Kingmaker Review - The Classics,6
"PS4, XONE, PC",Assassin's Creed Odyssey Review - Glory Of Sparta,8
"XONE, PS4",FIFA 19 Review - Golazo,7
"PC, XONE","Forza Horizon 4 Review - Shifting Gears, Shifting Seasons",9
"PS4, PC, XONE",Destiny 2: Forsaken Review - A Grindhouse,8
"PC, NS",Cities: Skylines Review - In The Zone,8
"NS, XONE, PS4",Mega Man 11 Review - An Uneven Retro Romp,7
NS,Freedom Planet Review -- Speedy Ambitions,7
PS4,Fist Of The North Star: Lost Paradise Review - Be The Tough Boy,8
PC,The Bard's Tale IV: Barrows Deep Review - Lament,4
NS,Final Fantasy XV: Pocket Edition HD Review - Nintendo Switch,7
"XONE, PS4, NS",Dragon Ball FighterZ Review: The Fast And The Furious,9
PS4,PES 2019 Review,9
PS4,Telltale's The Walking Dead: The Final Season Episode 2 Review,8
"PC, PS4, XONE",Life Is Strange 2: Episode 1 Review - What Doesn't Kill Us,9
PS4,Transference Review - In Another World,7
PC,Star Control: Origins Review - Space Oddity,6
"PC, NS",Broken Sword 5: The Serpent's Curse Review,8
NS,The Gardens Between Review - Dance Among The Stars,8
"XONE, PS4",NHL 19 Review - A Barnburner,8
NS,Wasteland 2: Director's Cut Nintendo Switch Review,8
PS4,Zone Of The Enders: The 2nd Runner - MARS Review,5
"PC, MAC, PS4, NS",Undertale Review - Nintendo Switch Update,9
NS,Nintendo Labo Vehicle Kit Review: The Most Fun Labo Yet,7
PC,Lamplight City Review - Cold Case,6
PC,Frozen Synapse 2 Review - Cool-Headed,8
PS4,428: Shibuya Scramble Review - When Fates Collide,8
PS4,"NBA 2K19 Review - Another Year, Another Baller",7
"PS4, XONE, PC, NS",Valkyria Chronicles 4 Review - Soar High,8
"PS4, PC, XONE",Shadow Of The Tomb Raider Review - Guerilla Girl,6
"PS4, XONE",NBA Live 19 Review - Dribbling Forward,7
PC,Two Point Hospital Review - Laughter Is The Best Medicine,8
PS4,Marvel's Spider-Man PS4 Review: Amazing Fantasy,9
XONE,Strange Brigade Review - Co-op With Style,7
NS,Planet Alpha Review: A Beautiful Planet,7
PC,Donut County Review: Pit Falls,6
NS,Little Dragons Cafe Review - Dragging On,6
"PC, NS",Into The Breach Review: A Mechanized Masterpiece,9
TG16,Vigilante Review,2
"PC, NS",The Messenger Review: Shuriken Sharp,8
PC,The Golf Club 2019 Review,8
NS,Hollow Knight Review - An Exceptional Adventure,9
NS,Monster Hunter Generations Ultimate Review - A Formidable Beast,7
PS4,F1 2018 Review - Victory Lap,9
PC,Death's Gambit Review - A Maddening Mission,6
PC,The King's Bird Review: A Rocky Flight,5
PS4,Guacamelee 2 Review - Ready For A Challenge,9
PS4,H1Z1 Battle Royale PS4 Review: All Kills No Frills,7
PS4,The Walking Dead - The Final Season Episode 1: Done Running Review,8
PC,Phantom Doctrine Review: Tactical Espionage Action,9
PC,Flipping Death Review: Scythe Life,7
XONE,Madden NFL 19 Review,8
PC,We Happy Few Review,4
PC,Unavowed Review: Dressed To Possess,9
"PS4, PC",Monster Hunter World Review - Deadliest Catch,8
NS,Overcooked 2 Review - A Great Second Course,8
"PS4, XONE, NS, PC",Dead Cells Review: Rise From Your Grave,9
PS4,No Man's Sky Review,7
"PC, PS4, XONE",No Man's Sky Next Review: You Are Not Alone,8
3DS,WarioWare Gold Review - Worth Its Weight,8
PC,The Banner Saga 3 Review,8
